"","x"
"1215","ANXA5"
"1216","EXOSC9"
"1217","CCNA2"
"1218","LARP1B"
"1219","PGRMC2"
"1220","NDUFC1"
"1221","NAA15"
"1222","SCOC"
"1223","ZNF330"
"1224","SMARCA5"
"1225","ANAPC10"
"1226","ABCE1"
"1227","LSM6"
"1228","RPS3A"
"1229","MND1"
"1230","PLRG1"
"1231","MAP9"
"1232","PPID"
"1233","TMA16"
"1234","TMEM192"
"1235","MSMO1"
"1236","CPE"
"1237","PALLD"
"1238","C4orf27"
"1239","HMGB2"
"1240","SAP30"
"1241","SPCS3"
"1242","DCTD"
"1243","ING2"
"1244","RWDD4"
"1245","CENPU"
"1246","ACSL1"
"1247","SLC25A4"
"1248","ANKRD37"
"1249","FAT1"
"1250","FRG1"
"1251","CCDC127"
"1252","SDHA"
"1253","PDCD6"
"1254","BRD9"
"1255","TRIP13"
"1256","SLC12A7"
"1257","CLPTM1L"
"1258","LPCAT1"
"1259","MRPL36"
"1260","NDUFS6"
"1261","MED10"
"1262","NSUN2"
"1263","SRD5A1"
"1264","MIR4458HG"
"1265","SNHG18"
"1266","CCT5"
"1267","DAP"
"1268","TRIO"
"1269","FAM105A"
"1270","ZNF622"
"1271","MYO10"
"1272","BASP1"
"1273","ZFR"
"1274","SUB1"
"1275","TARS"
"1276","RAI14"
"1277","RAD1"
"1278","BRIX1"
"1279","DNAJC21"
"1280","SKP2"
"1281","NIPBL"
"1282","WDR70"
"1283","RPL37"
"1284","OXCT1"
"1285","ZNF131"
"1286","PAIP1"
"1287","NNT-AS1"
"1288","MRPS30"
"1289","PELO"
"1290","MOCS2"
"1291","NDUFS4"
"1292","GPX8"
"1293","CCNO"
"1294","DHX29"
"1295","SKIV2L2"
"1296","GPBP1"
"1297","PLK2"
"1298","DEPDC1B"
"1299","NDUFAF2"
"1300","SMIM15"
"1301","KIF2A"
"1302","DIMT1"
"1303","SREK1IP1"
"1304","CWC27"
"1305","CENPK"
"1306","ERBB2IP"
"1307","SREK1"
"1308","MAST4"
"1309","SLC30A5"
"1310","CCNB1"
"1311","CENPH"
"1312","MRPS36"
"1313","CDK7"
"1314","RAD17"
"1315","GTF2H2"
"1316","BDP1"
"1317","MCCC2"
"1318","MAP1B"
"1319","MRPS27"
"1320","TNPO1"
"1321","BTF3"
"1322","UTP15"
"1323","ENC1"
"1324","HEXB"
"1325","NSA2"
"1326","F2RL1"
"1327","AGGF1"
"1328","WDR41"
"1329","TBCA"
"1330","AP3B1"
"1331","HOMER1"
"1332","CTD-2015H6.3"
"1333","DHFR"
"1334","ZCCHC9"
"1335","ATG10"
"1336","RPS23"
"1337","TMEM167A"
"1338","COX7C"
"1339","CCNH"
"1340","CETN3"
"1341","POLR3G"
"1342","NR2F1"
"1343","FAM172A"
"1344","RHOBTB3"
"1345","GLRX"
"1346","CAST"
"1347","RIOK2"
"1348","CHD1"
"1349","FAM174A"
"1350","C5orf30"
"1351","EPB41L4A-AS1"
"1352","SRP19"
"1353","REEP5"
"1354","DCP2"
"1355","CCDC112"
"1356","TMED7"
"1357","ATG12"
"1358","AP3S1"
"1359","COMMD10"
"1360","HSD17B4"
"1361","SNX2"
"1362","SNX24"
"1363","PPIC"
"1364","CSNK1G3"
"1365","ALDH7A1"
"1366","PHAX"
"1367","LMNB1"
"1368","ISOC1"
"1369","HINT1"
"1370","LYRM7"
"1371","P4HA2"
"1372","IRF1"
"1373","RAD50"
"1374","KIF3A"
"1375","UQCRQ"
